Source,Target,Type,Id,Label,timeset,Weight
153080620724,1191441824276882,Directed,0,,,1
153080620724,1440616002820798,Directed,1,,,1
153080620724,804759026206147,Directed,2,,,1
153080620724,232192473600605,Directed,3,,,1
153080620724,548949471843796,Directed,4,,,1
153080620724,130236660331428,Directed,5,,,1
153080620724,221322451230249,Directed,6,,,1
153080620724,414426511932868,Directed,7,,,1
153080620724,301650956713,Directed,8,,,1
153080620724,312520783138,Directed,9,,,1
153080620724,299930056542,Directed,10,,,1
153080620724,137448460152,Directed,11,,,1
153080620724,238882692876644,Directed,12,,,1
153080620724,296231886728,Directed,13,,,1
153080620724,162011417190258,Directed,14,,,1
153080620724,105218496189083,Directed,15,,,1
153080620724,11100009009,Directed,16,,,1
153080620724,295644160460352,Directed,17,,,1
153080620724,120745732681,Directed,18,,,1
153080620724,263486007807,Directed,19,,,1
1191441824276882,1220332944702810,Directed,20,,,1
1191441824276882,1440616002820798,Directed,21,,,1
1191441824276882,1827861310819552,Directed,22,,,1
1440616002820798,1191441824276882,Directed,23,,,1
804759026206147,1379563585404952,Directed,24,,,1
804759026206147,296231886728,Directed,25,,,1
804759026206147,408050765885645,Directed,26,,,1
804759026206147,251308861708320,Directed,27,,,1
804759026206147,238882692876644,Directed,28,,,1
804759026206147,414426511932868,Directed,29,,,1
804759026206147,86787822660,Directed,30,,,1
804759026206147,105218496189083,Directed,31,,,1
804759026206147,221322451230249,Directed,32,,,1
804759026206147,171301953010880,Directed,33,,,1
804759026206147,162011417190258,Directed,34,,,1
804759026206147,289870204471490,Directed,35,,,1
232192473600605,19064794857,Directed,36,,,1
232192473600605,1379563585404952,Directed,37,,,1
232192473600605,282485638586304,Directed,38,,,1
232192473600605,1562935923922899,Directed,39,,,1
232192473600605,146980312688,Directed,40,,,1
232192473600605,289192763550,Directed,41,,,1
548949471843796,1379563585404952,Directed,42,,,1
548949471843796,232192473600605,Directed,43,,,1
548949471843796,254503214572367,Directed,44,,,1
548949471843796,488764764520408,Directed,45,,,1
130236660331428,413629585318264,Directed,46,,,1
130236660331428,589870394453414,Directed,47,,,1
130236660331428,169590046387395,Directed,48,,,1
130236660331428,643027099132034,Directed,49,,,1
130236660331428,422198147832492,Directed,50,,,1
130236660331428,365593830197041,Directed,51,,,1
130236660331428,467342736631696,Directed,52,,,1
130236660331428,299568830617,Directed,53,,,1
130236660331428,248596288598966,Directed,54,,,1
130236660331428,235854166598000,Directed,55,,,1
130236660331428,324684164243,Directed,56,,,1
130236660331428,5834919267,Directed,57,,,1
130236660331428,103535048155,Directed,58,,,1
130236660331428,86671102695,Directed,59,,,1
130236660331428,39971856823,Directed,60,,,1
130236660331428,221792717770,Directed,61,,,1
130236660331428,235220453278398,Directed,62,,,1
130236660331428,412483298852463,Directed,63,,,1
130236660331428,429999587196400,Directed,64,,,1
130236660331428,48958576760,Directed,65,,,1
130236660331428,116933818391661,Directed,66,,,1
130236660331428,597615313633288,Directed,67,,,1
130236660331428,39875583837,Directed,68,,,1
130236660331428,50615137915,Directed,69,,,1
130236660331428,1569882746627736,Directed,70,,,1
130236660331428,461491037363368,Directed,71,,,1
130236660331428,297301646999602,Directed,72,,,1
130236660331428,10929922121,Directed,73,,,1
130236660331428,161420160303,Directed,74,,,1
130236660331428,32864016288,Directed,75,,,1
130236660331428,134535059992650,Directed,76,,,1
130236660331428,375159405924657,Directed,77,,,1
130236660331428,128998783844431,Directed,78,,,1
130236660331428,529304190481710,Directed,79,,,1
130236660331428,257540754451285,Directed,80,,,1
130236660331428,87796396244,Directed,81,,,1
130236660331428,99276491755,Directed,82,,,1
130236660331428,27221929013,Directed,83,,,1
130236660331428,274654619674198,Directed,84,,,1
130236660331428,13539254023,Directed,85,,,1
130236660331428,77317926936,Directed,86,,,1
130236660331428,271198365271,Directed,87,,,1
130236660331428,21633079583,Directed,88,,,1
130236660331428,21898300328,Directed,89,,,1
130236660331428,55817334863,Directed,90,,,1
130236660331428,149130575172709,Directed,91,,,1
130236660331428,55290780338,Directed,92,,,1
130236660331428,11144370697,Directed,93,,,1
130236660331428,181109695239977,Directed,94,,,1
130236660331428,145757167424,Directed,95,,,1
130236660331428,13927915491,Directed,96,,,1
130236660331428,511342679003233,Directed,97,,,1
130236660331428,107883926768,Directed,98,,,1
130236660331428,230875000354151,Directed,99,,,1
130236660331428,180313675483461,Directed,100,,,1
130236660331428,17284924915,Directed,101,,,1
130236660331428,109281389102062,Directed,102,,,1
130236660331428,58689146426,Directed,103,,,1
130236660331428,182401020492,Directed,104,,,1
130236660331428,8245623462,Directed,105,,,1
130236660331428,1433446353562982,Directed,106,,,1
130236660331428,5518834980,Directed,107,,,1
130236660331428,130805523642806,Directed,108,,,1
130236660331428,343613632440654,Directed,109,,,1
130236660331428,96060366743,Directed,110,,,1
130236660331428,151708921528018,Directed,111,,,1
130236660331428,171165856251649,Directed,112,,,1
130236660331428,298881979627,Directed,113,,,1
130236660331428,50497990122,Directed,114,,,1
130236660331428,1455126624730527,Directed,115,,,1
130236660331428,30977473375,Directed,116,,,1
130236660331428,1497181760501275,Directed,117,,,1
130236660331428,176780756672,Directed,118,,,1
130236660331428,400613820057553,Directed,119,,,1
130236660331428,175224749289031,Directed,120,,,1
130236660331428,21225821518,Directed,121,,,1
130236660331428,118779906520,Directed,122,,,1
130236660331428,96914973034,Directed,123,,,1
130236660331428,152984664271,Directed,124,,,1
130236660331428,121181604563206,Directed,125,,,1
130236660331428,112378065860,Directed,126,,,1
130236660331428,375963162105,Directed,127,,,1
130236660331428,673076242704468,Directed,128,,,1
130236660331428,6029273333,Directed,129,,,1
130236660331428,217512775360,Directed,130,,,1
130236660331428,176203198111,Directed,131,,,1
130236660331428,1464509617114115,Directed,132,,,1
130236660331428,130733443608922,Directed,133,,,1
130236660331428,1481760205384932,Directed,134,,,1
130236660331428,114779199447,Directed,135,,,1
130236660331428,146411184224,Directed,136,,,1
130236660331428,421252421342515,Directed,137,,,1
130236660331428,211032142300914,Directed,138,,,1
130236660331428,134798283238633,Directed,139,,,1
130236660331428,166686830496,Directed,140,,,1
130236660331428,144591172271894,Directed,141,,,1
130236660331428,121748723800,Directed,142,,,1
130236660331428,442171915908186,Directed,143,,,1
130236660331428,105937642780677,Directed,144,,,1
130236660331428,250530845128253,Directed,145,,,1
130236660331428,219508971423005,Directed,146,,,1
130236660331428,713452752014270,Directed,147,,,1
130236660331428,107293066994,Directed,148,,,1
130236660331428,1575467289342112,Directed,149,,,1
130236660331428,277806402290338,Directed,150,,,1
130236660331428,135316349845699,Directed,151,,,1
130236660331428,150518134974994,Directed,152,,,1
130236660331428,169226069435,Directed,153,,,1
130236660331428,194787020229,Directed,154,,,1
130236660331428,55636911714,Directed,155,,,1
130236660331428,162369277204671,Directed,156,,,1
130236660331428,34663962876,Directed,157,,,1
130236660331428,327772647353045,Directed,158,,,1
130236660331428,172122241940,Directed,159,,,1
130236660331428,86680728811,Directed,160,,,1
130236660331428,312424259859,Directed,161,,,1
130236660331428,452794291463985,Directed,162,,,1
130236660331428,208639889282414,Directed,163,,,1
130236660331428,165569723515238,Directed,164,,,1
130236660331428,298506666915528,Directed,165,,,1
130236660331428,146795876521,Directed,166,,,1
130236660331428,128085557210847,Directed,167,,,1
130236660331428,97461606856,Directed,168,,,1
130236660331428,163353920383231,Directed,169,,,1
130236660331428,103837657084,Directed,170,,,1
130236660331428,361484870554294,Directed,171,,,1
130236660331428,190029777690819,Directed,172,,,1
130236660331428,116765778345975,Directed,173,,,1
130236660331428,109215622029,Directed,174,,,1
130236660331428,130811896971257,Directed,175,,,1
130236660331428,24662241754,Directed,176,,,1
130236660331428,115735125296,Directed,177,,,1
130236660331428,201906969852221,Directed,178,,,1
130236660331428,45967922049,Directed,179,,,1
130236660331428,71872012232,Directed,180,,,1
130236660331428,231909450110,Directed,181,,,1
130236660331428,108812523708,Directed,182,,,1
130236660331428,139446472769889,Directed,183,,,1
130236660331428,274664682569912,Directed,184,,,1
130236660331428,171309726249720,Directed,185,,,1
130236660331428,167896966556606,Directed,186,,,1
130236660331428,132350883493348,Directed,187,,,1
130236660331428,57621362889,Directed,188,,,1
130236660331428,240462150592,Directed,189,,,1
130236660331428,42933792278,Directed,190,,,1
130236660331428,342586421440,Directed,191,,,1
130236660331428,148872528464550,Directed,192,,,1
130236660331428,128710173810453,Directed,193,,,1
130236660331428,248389111861586,Directed,194,,,1
130236660331428,151288104912491,Directed,195,,,1
130236660331428,86794406197,Directed,196,,,1
130236660331428,21177444489,Directed,197,,,1
130236660331428,111649348951,Directed,198,,,1
130236660331428,253591661347566,Directed,199,,,1
130236660331428,117676114960011,Directed,200,,,1
130236660331428,48000160035,Directed,201,,,1
130236660331428,11856650911,Directed,202,,,1
130236660331428,90955842823,Directed,203,,,1
130236660331428,288481424518900,Directed,204,,,1
130236660331428,116647420032,Directed,205,,,1
130236660331428,145309064646,Directed,206,,,1
130236660331428,108555292502414,Directed,207,,,1
130236660331428,6797246895,Directed,208,,,1
130236660331428,63601337951,Directed,209,,,1
130236660331428,115057772089,Directed,210,,,1
130236660331428,88460909704,Directed,211,,,1
130236660331428,13230385090,Directed,212,,,1
130236660331428,1635447663398885,Directed,213,,,1
130236660331428,131110400274103,Directed,214,,,1
130236660331428,42939088292,Directed,215,,,1
130236660331428,42430188985,Directed,216,,,1
130236660331428,142271415829971,Directed,217,,,1
130236660331428,111580660349,Directed,218,,,1
130236660331428,106275026078035,Directed,219,,,1
130236660331428,128304520582767,Directed,220,,,1
130236660331428,29092950651,Directed,221,,,1
130236660331428,216200661728292,Directed,222,,,1
130236660331428,20959866432,Directed,223,,,1
130236660331428,112809042074993,Directed,224,,,1
130236660331428,147871371897895,Directed,225,,,1
130236660331428,120358587979707,Directed,226,,,1
130236660331428,111752518573,Directed,227,,,1
130236660331428,5281959998,Directed,228,,,1
130236660331428,181747045176585,Directed,229,,,1
130236660331428,43117251776,Directed,230,,,1
130236660331428,9359316996,Directed,231,,,1
130236660331428,21317493981,Directed,232,,,1
130236660331428,68989932198,Directed,233,,,1
130236660331428,18468761129,Directed,234,,,1
130236660331428,25440929072,Directed,235,,,1
130236660331428,30911162508,Directed,236,,,1
130236660331428,29970678204,Directed,237,,,1
130236660331428,1394127670826744,Directed,238,,,1
130236660331428,9665781619,Directed,239,,,1
130236660331428,397803767159,Directed,240,,,1
130236660331428,172450632322,Directed,241,,,1
130236660331428,137448460152,Directed,242,,,1
130236660331428,312520783138,Directed,243,,,1
130236660331428,302021667420,Directed,244,,,1
130236660331428,120745732681,Directed,245,,,1
130236660331428,299930056542,Directed,246,,,1
130236660331428,301650956713,Directed,247,,,1
221322451230249,1379563585404952,Directed,248,,,1
221322451230249,408050765885645,Directed,249,,,1
221322451230249,107605689320561,Directed,250,,,1
221322451230249,238882692876644,Directed,251,,,1
221322451230249,105218496189083,Directed,252,,,1
221322451230249,162011417190258,Directed,253,,,1
221322451230249,274850400769,Directed,254,,,1
221322451230249,190736377661381,Directed,255,,,1
221322451230249,88195114835,Directed,256,,,1
221322451230249,220216604753014,Directed,257,,,1
221322451230249,141927100221,Directed,258,,,1
221322451230249,73562687228,Directed,259,,,1
221322451230249,200411376652400,Directed,260,,,1
221322451230249,45862199278,Directed,261,,,1
221322451230249,225562594138280,Directed,262,,,1
221322451230249,83382335920,Directed,263,,,1
221322451230249,155166207877434,Directed,264,,,1
221322451230249,27221929013,Directed,265,,,1
221322451230249,51850479973,Directed,266,,,1
221322451230249,104300246402,Directed,267,,,1
221322451230249,126280558796,Directed,268,,,1
221322451230249,144743918423,Directed,269,,,1
221322451230249,12854644836,Directed,270,,,1
221322451230249,50782216756,Directed,271,,,1
221322451230249,173734369318100,Directed,272,,,1
221322451230249,74475819815,Directed,273,,,1
221322451230249,137535436268806,Directed,274,,,1
221322451230249,106741452732860,Directed,275,,,1
221322451230249,25440929072,Directed,276,,,1
221322451230249,21317493981,Directed,277,,,1
221322451230249,22983068728,Directed,278,,,1
221322451230249,36087112781,Directed,279,,,1
221322451230249,30523100761,Directed,280,,,1
221322451230249,196124155006,Directed,281,,,1
221322451230249,38925837299,Directed,282,,,1
221322451230249,85978164823,Directed,283,,,1
221322451230249,284300559123,Directed,284,,,1
221322451230249,106457817693,Directed,285,,,1
221322451230249,49600122321,Directed,286,,,1
221322451230249,116426418376793,Directed,287,,,1
221322451230249,42809541675,Directed,288,,,1
221322451230249,121046957951378,Directed,289,,,1
221322451230249,100577440008045,Directed,290,,,1
221322451230249,162650545433,Directed,291,,,1
221322451230249,22505733956,Directed,292,,,1
221322451230249,170742256289684,Directed,293,,,1
221322451230249,64829476886,Directed,294,,,1
221322451230249,105404079490010,Directed,295,,,1
221322451230249,6168638756,Directed,296,,,1
221322451230249,100184439305,Directed,297,,,1
221322451230249,160505357316902,Directed,298,,,1
221322451230249,61876535793,Directed,299,,,1
221322451230249,270352050360,Directed,300,,,1
221322451230249,136996419671678,Directed,301,,,1
221322451230249,308926445809779,Directed,302,,,1
221322451230249,33751139289,Directed,303,,,1
221322451230249,116787266879,Directed,304,,,1
221322451230249,8080683959,Directed,305,,,1
221322451230249,7050739895,Directed,306,,,1
221322451230249,19457049254,Directed,307,,,1
221322451230249,44596321012,Directed,308,,,1
221322451230249,10109514234,Directed,309,,,1
221322451230249,64389285236,Directed,310,,,1
221322451230249,93539908891,Directed,311,,,1
221322451230249,49656581518,Directed,312,,,1
221322451230249,145598892122326,Directed,313,,,1
221322451230249,342088343060,Directed,314,,,1
221322451230249,36143771015,Directed,315,,,1
221322451230249,228746771108,Directed,316,,,1
221322451230249,55817334863,Directed,317,,,1
221322451230249,47151801650,Directed,318,,,1
221322451230249,31072194651,Directed,319,,,1
221322451230249,41451951799,Directed,320,,,1
221322451230249,69999732748,Directed,321,,,1
221322451230249,58708608160,Directed,322,,,1
221322451230249,117176368302210,Directed,323,,,1
221322451230249,116369211723783,Directed,324,,,1
221322451230249,113915458641200,Directed,325,,,1
221322451230249,535938153245119,Directed,326,,,1
221322451230249,199321156758883,Directed,327,,,1
221322451230249,116083525086303,Directed,328,,,1
221322451230249,333099115542,Directed,329,,,1
221322451230249,11803025909,Directed,330,,,1
221322451230249,137448460152,Directed,331,,,1
221322451230249,312520783138,Directed,332,,,1
221322451230249,302021667420,Directed,333,,,1
221322451230249,299930056542,Directed,334,,,1
221322451230249,301650956713,Directed,335,,,1
221322451230249,18938064984,Directed,336,,,1
221322451230249,9665781619,Directed,337,,,1
221322451230249,65907876468,Directed,338,,,1
221322451230249,11100009009,Directed,339,,,1
221322451230249,52150999700,Directed,340,,,1
221322451230249,130236660331428,Directed,341,,,1
221322451230249,172450632322,Directed,342,,,1
221322451230249,8810407571,Directed,343,,,1
221322451230249,216200661728292,Directed,344,,,1
221322451230249,12566691349,Directed,345,,,1
221322451230249,36415847891,Directed,346,,,1
221322451230249,90955842823,Directed,347,,,1
221322451230249,295644160460352,Directed,348,,,1
221322451230249,296231886728,Directed,349,,,1
221322451230249,48713703067,Directed,350,,,1
221322451230249,254503214572367,Directed,351,,,1
221322451230249,110799265639386,Directed,352,,,1
221322451230249,152976388115795,Directed,353,,,1
221322451230249,164825930120,Directed,354,,,1
221322451230249,119500444664,Directed,355,,,1
221322451230249,78451717770,Directed,356,,,1
221322451230249,115057772089,Directed,357,,,1
221322451230249,33989251494,Directed,358,,,1
221322451230249,112580212107733,Directed,359,,,1
221322451230249,53363718706,Directed,360,,,1
221322451230249,10643196329,Directed,361,,,1
221322451230249,12846250821,Directed,362,,,1
221322451230249,10737653985,Directed,363,,,1
221322451230249,112579470003,Directed,364,,,1
221322451230249,6604386669,Directed,365,,,1
221322451230249,51107963534,Directed,366,,,1
221322451230249,133675716690493,Directed,367,,,1
221322451230249,92823766751,Directed,368,,,1
221322451230249,195137883833503,Directed,369,,,1
221322451230249,107978239230954,Directed,370,,,1
221322451230249,153080620724,Directed,371,,,1
221322451230249,140861089257887,Directed,372,,,1
221322451230249,100236914110,Directed,373,,,1
221322451230249,120745732681,Directed,374,,,1
221322451230249,263486007807,Directed,375,,,1
221322451230249,113266398683779,Directed,376,,,1
221322451230249,70920764867,Directed,377,,,1
221322451230249,326045712600,Directed,378,,,1
221322451230249,109283439678,Directed,379,,,1
221322451230249,105825052787531,Directed,380,,,1
414426511932868,1379563585404952,Directed,381,,,1
414426511932868,86787822660,Directed,382,,,1
414426511932868,338493120791,Directed,383,,,1
414426511932868,116299341760758,Directed,384,,,1
414426511932868,272012429478975,Directed,385,,,1
414426511932868,146208145455576,Directed,386,,,1
414426511932868,227818603990214,Directed,387,,,1
414426511932868,111761300385,Directed,388,,,1
414426511932868,134279987607,Directed,389,,,1
414426511932868,62549391190,Directed,390,,,1
414426511932868,173348482676313,Directed,391,,,1
414426511932868,120745732681,Directed,392,,,1
414426511932868,153080620724,Directed,393,,,1
414426511932868,489762474515917,Directed,394,,,1
414426511932868,408050765885645,Directed,395,,,1
414426511932868,163202667043670,Directed,396,,,1
414426511932868,301650956713,Directed,397,,,1
414426511932868,58708608160,Directed,398,,,1
414426511932868,121697731333015,Directed,399,,,1
414426511932868,105218496189083,Directed,400,,,1
414426511932868,162011417190258,Directed,401,,,1
414426511932868,238882692876644,Directed,402,,,1
414426511932868,137448460152,Directed,403,,,1
414426511932868,130236660331428,Directed,404,,,1
414426511932868,216200661728292,Directed,405,,,1
414426511932868,302021667420,Directed,406,,,1
414426511932868,296231886728,Directed,407,,,1
414426511932868,312520783138,Directed,408,,,1
414426511932868,299930056542,Directed,409,,,1
414426511932868,151777835663,Directed,410,,,1
414426511932868,219498071521265,Directed,411,,,1
414426511932868,90955842823,Directed,412,,,1
414426511932868,10643196329,Directed,413,,,1
414426511932868,280901855968,Directed,414,,,1
414426511932868,230785333602341,Directed,415,,,1
301650956713,1379563585404952,Directed,416,,,1
301650956713,548949471843796,Directed,417,,,1
301650956713,414426511932868,Directed,418,,,1
301650956713,254503214572367,Directed,419,,,1
301650956713,219498071521265,Directed,420,,,1
301650956713,121181604563206,Directed,421,,,1
301650956713,196988031175,Directed,422,,,1
301650956713,397668220260460,Directed,423,,,1
301650956713,242045929186068,Directed,424,,,1
301650956713,21317493981,Directed,425,,,1
301650956713,365695996871354,Directed,426,,,1
301650956713,5834919267,Directed,427,,,1
301650956713,295644160460352,Directed,428,,,1
301650956713,39442131319,Directed,429,,,1
301650956713,114510248559480,Directed,430,,,1
301650956713,5863091683,Directed,431,,,1
301650956713,167241196654090,Directed,432,,,1
301650956713,26144134130,Directed,433,,,1
301650956713,293751270715969,Directed,434,,,1
301650956713,296231886728,Directed,435,,,1
301650956713,216200661728292,Directed,436,,,1
301650956713,100184439305,Directed,437,,,1
301650956713,134910719873358,Directed,438,,,1
301650956713,84742863108,Directed,439,,,1
301650956713,45074023500,Directed,440,,,1
301650956713,101226259931350,Directed,441,,,1
301650956713,85749864263,Directed,442,,,1
301650956713,30334905062,Directed,443,,,1
301650956713,8304333127,Directed,444,,,1
301650956713,90955842823,Directed,445,,,1
301650956713,25440929072,Directed,446,,,1
301650956713,130236660331428,Directed,447,,,1
301650956713,153080620724,Directed,448,,,1
301650956713,137448460152,Directed,449,,,1
301650956713,63565943412,Directed,450,,,1
301650956713,263486007807,Directed,451,,,1
301650956713,172450632322,Directed,452,,,1
301650956713,302021667420,Directed,453,,,1
301650956713,312520783138,Directed,454,,,1
301650956713,299930056542,Directed,455,,,1
301650956713,120745732681,Directed,456,,,1
312520783138,109215622029,Directed,457,,,1
312520783138,1582223062048873,Directed,458,,,1
312520783138,495027843848541,Directed,459,,,1
312520783138,104518666335879,Directed,460,,,1
312520783138,723265704409048,Directed,461,,,1
312520783138,109003609161844,Directed,462,,,1
312520783138,137494489321,Directed,463,,,1
312520783138,166225030062306,Directed,464,,,1
312520783138,370655236388790,Directed,465,,,1
312520783138,289308807766347,Directed,466,,,1
312520783138,146415992039007,Directed,467,,,1
312520783138,37469599796,Directed,468,,,1
312520783138,239621689393129,Directed,469,,,1
312520783138,101346847728,Directed,470,,,1
312520783138,325636444213904,Directed,471,,,1
312520783138,32864016288,Directed,472,,,1
312520783138,398880430206703,Directed,473,,,1
312520783138,17284924915,Directed,474,,,1
312520783138,90955842823,Directed,475,,,1
312520783138,232192473600605,Directed,476,,,1
312520783138,113561262005731,Directed,477,,,1
312520783138,132778933457765,Directed,478,,,1
312520783138,71638113323,Directed,479,,,1
312520783138,12546364967,Directed,480,,,1
312520783138,57457855612,Directed,481,,,1
312520783138,106286528407,Directed,482,,,1
312520783138,207033852678281,Directed,483,,,1
312520783138,22433917219,Directed,484,,,1
312520783138,198302120227567,Directed,485,,,1
312520783138,147307875330729,Directed,486,,,1
312520783138,337550228330,Directed,487,,,1
312520783138,51554669492,Directed,488,,,1
312520783138,166257470070670,Directed,489,,,1
312520783138,5550296508,Directed,490,,,1
312520783138,1377266615823777,Directed,491,,,1
312520783138,205485749536498,Directed,492,,,1
312520783138,159633870833976,Directed,493,,,1
312520783138,19837411429,Directed,494,,,1
312520783138,130811896971257,Directed,495,,,1
312520783138,295644160460352,Directed,496,,,1
312520783138,11100009009,Directed,497,,,1
312520783138,263486007807,Directed,498,,,1
312520783138,358031184208531,Directed,499,,,1
312520783138,141657192616725,Directed,500,,,1
312520783138,7722689875,Directed,501,,,1
312520783138,124842316864,Directed,502,,,1
312520783138,174772312576009,Directed,503,,,1
312520783138,128450347241247,Directed,504,,,1
312520783138,104907696213843,Directed,505,,,1
312520783138,106537403849,Directed,506,,,1
312520783138,177503626130,Directed,507,,,1
312520783138,100184439305,Directed,508,,,1
312520783138,14425952749,Directed,509,,,1
312520783138,93539908891,Directed,510,,,1
312520783138,18658586341,Directed,511,,,1
312520783138,44596321012,Directed,512,,,1
312520783138,260751060175,Directed,513,,,1
312520783138,26696569976,Directed,514,,,1
312520783138,217512775360,Directed,515,,,1
312520783138,109125488793,Directed,516,,,1
312520783138,175829615793540,Directed,517,,,1
312520783138,76042741516,Directed,518,,,1
312520783138,278850332184081,Directed,519,,,1
312520783138,121181604563206,Directed,520,,,1
312520783138,125301320889008,Directed,521,,,1
312520783138,1394127670826744,Directed,522,,,1
312520783138,9665781619,Directed,523,,,1
312520783138,25440929072,Directed,524,,,1
312520783138,130236660331428,Directed,525,,,1
312520783138,301650956713,Directed,526,,,1
312520783138,25714197071,Directed,527,,,1
312520783138,21317493981,Directed,528,,,1
312520783138,120745732681,Directed,529,,,1
312520783138,199624416058,Directed,530,,,1
312520783138,302021667420,Directed,531,,,1
312520783138,299930056542,Directed,532,,,1
312520783138,63565943412,Directed,533,,,1
312520783138,137448460152,Directed,534,,,1
312520783138,172450632322,Directed,535,,,1
299930056542,136919579808556,Directed,536,,,1
299930056542,296231886728,Directed,537,,,1
299930056542,116260265052216,Directed,538,,,1
299930056542,1483955365195648,Directed,539,,,1
299930056542,348494641841991,Directed,540,,,1
299930056542,104510272947433,Directed,541,,,1
299930056542,216230766864,Directed,542,,,1
299930056542,272068154635,Directed,543,,,1
299930056542,137379275372,Directed,544,,,1
299930056542,105092346213894,Directed,545,,,1
299930056542,295644160460352,Directed,546,,,1
299930056542,129880331375,Directed,547,,,1
299930056542,105527078052,Directed,548,,,1
299930056542,109189185788859,Directed,549,,,1
299930056542,1394127670826744,Directed,550,,,1
299930056542,9665781619,Directed,551,,,1
299930056542,130236660331428,Directed,552,,,1
299930056542,263486007807,Directed,553,,,1
299930056542,301650956713,Directed,554,,,1
299930056542,63565943412,Directed,555,,,1
299930056542,120745732681,Directed,556,,,1
299930056542,153080620724,Directed,557,,,1
299930056542,302021667420,Directed,558,,,1
299930056542,90955842823,Directed,559,,,1
299930056542,11100009009,Directed,560,,,1
299930056542,312520783138,Directed,561,,,1
299930056542,172450632322,Directed,562,,,1
299930056542,84742863108,Directed,563,,,1
299930056542,137448460152,Directed,564,,,1
137448460152,479316055480967,Directed,565,,,1
137448460152,1135851733201555,Directed,566,,,1
137448460152,545718845506489,Directed,567,,,1
137448460152,116314635093487,Directed,568,,,1
137448460152,334663169898231,Directed,569,,,1
137448460152,195290977275190,Directed,570,,,1
137448460152,949713285052681,Directed,571,,,1
137448460152,28330065878,Directed,572,,,1
137448460152,107418859354629,Directed,573,,,1
137448460152,123245358752,Directed,574,,,1
137448460152,797266913676122,Directed,575,,,1
137448460152,238808916142153,Directed,576,,,1
137448460152,109003609161844,Directed,577,,,1
137448460152,11640096627,Directed,578,,,1
